pollster,numeric_grade,state,candidate_name,pct,sample_size,pollscore,population,end_date,national_poll,recency
Ipsos,2.8,National,Donald Trump,43,3481,-0.9,rv,2024-10-21,1,15
Ipsos,2.8,National,Donald Trump,45,3307,-0.9,lv,2024-10-21,1,15
InsiderAdvantage,2,Nevada,Donald Trump,47.9,800,-0.3,lv,2024-10-20,0,16
InsiderAdvantage,2,Arizona,Donald Trump,49.5,800,-0.3,lv,2024-10-20,0,16
Suffolk,2.9,National,Donald Trump,44.4,1000,-1,lv,2024-10-18,1,18
Suffolk,2.9,National,Donald Trump,48.7,1000,-1,lv,2024-10-18,1,18
Research & Polling,2.1,New Mexico,Donald Trump,41,1024,-0.9,lv,2024-10-18,0,18
U. North Florida,2.8,Florida,Donald Trump,53,977,-0.6,lv,2024-10-18,0,18
RMG Research,2.3,Florida,Donald Trump,52,788,-0.4,lv,2024-10-17,0,19
Siena,2.7,New York,Donald Trump,37,872,-0.8,lv,2024-10-17,0,19
Siena,2.7,New York,Donald Trump,39,872,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,National,Donald Trump,50.7,4180,-0.8,lv,2024-10-17,1,19
AtlasIntel,2.7,National,Donald Trump,50.8,4180,-0.8,lv,2024-10-17,1,19
AtlasIntel,2.7,Arizona,Donald Trump,49.2,1440,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Arizona,Donald Trump,49.2,1440,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Donald Trump,49.5,1411,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Georgia,Donald Trump,50.1,1411,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Donald Trump,49.6,1529,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Michigan,Donald Trump,50.2,1529,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Donald Trump,48.4,1171,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Nevada,Donald Trump,48.3,1171,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Donald Trump,48.8,1674,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,North Carolina,Donald Trump,48.8,1674,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Donald Trump,49.8,2048,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Pennsylvania,Donald Trump,49.9,2048,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Donald Trump,48.2,932,-0.8,lv,2024-10-17,0,19
AtlasIntel,2.7,Wisconsin,Donald Trump,48.4,932,-0.8,lv,2024-10-17,0,19
Emerson,2.9,National,Donald Trump,49.2,1000,-1.1,lv,2024-10-16,1,20
RMG Research,2.3,National,Donald Trump,49,2950,-0.4,lv,2024-10-16,1,20
YouGov,3,Arizona,Donald Trump,51,1435,-1.1,lv,2024-10-16,0,20
RMG Research,2.3,Wisconsin,Donald Trump,50,787,-0.4,lv,2024-10-16,0,20
RMG Research,2.3,Michigan,Donald Trump,49,789,-0.4,lv,2024-10-16,0,20
U. Georgia SPIA,2.2,Georgia,Donald Trump,47,1000,-0.2,lv,2024-10-16,0,20
InsiderAdvantage,2,Georgia,Donald Trump,49,800,-0.3,rv,2024-10-15,0,21
YouGov,3,National,Donald Trump,45,1457,-1.1,rv,2024-10-15,1,21
YouGov,3,National,Donald Trump,45,1314,-1.1,lv,2024-10-15,1,21
Washington Post/George Mason University,2.7,Arizona,Donald Trump,50,580,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Arizona,Donald Trump,49,580,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Donald Trump,44,730,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Georgia,Donald Trump,47,730,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Donald Trump,47,687,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Michigan,Donald Trump,47,687,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Donald Trump,44,652,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Nevada,Donald Trump,48,652,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Donald Trump,49,965,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,North Carolina,Donald Trump,50,965,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Donald Trump,46,707,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Pennsylvania,Donald Trump,47,707,-0.8,lv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Donald Trump,46,695,-0.8,rv,2024-10-15,0,21
Washington Post/George Mason University,2.7,Wisconsin,Donald Trump,47,695,-0.8,lv,2024-10-15,0,21
Mitchell,2.4,Michigan,Donald Trump,47,589,-0.2,lv,2024-10-14,0,22
Mitchell,2.4,Michigan,Donald Trump,48.5,589,-0.2,lv,2024-10-14,0,22
Emerson,2.9,California,Donald Trump,36.6,1000,-1.1,lv,2024-10-14,0,22
Cygnal,2.1,North Carolina,Donald Trump,47.2,600,-1.1,lv,2024-10-14,0,22
Beacon/Shaw,2.8,National,Donald Trump,50,1110,-1.1,rv,2024-10-14,1,22
Beacon/Shaw,2.8,National,Donald Trump,50,870,-1.1,lv,2024-10-14,1,22
Quinnipiac,2.8,Georgia,Donald Trump,52,1328,-0.5,lv,2024-10-14,0,22
Quinnipiac,2.8,Georgia,Donald Trump,52,1328,-0.5,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Donald Trump,47,1031,-0.5,lv,2024-10-14,0,22
Quinnipiac,2.8,North Carolina,Donald Trump,47,1031,-0.5,lv,2024-10-14,0,22
SurveyUSA,2.8,Washington,Donald Trump,35,703,-1.3,lv,2024-10-14,0,22
East Carolina University,2.6,Georgia,Donald Trump,48.9,701,-0.5,lv,2024-10-14,0,22
Fairleigh Dickinson,2.6,National,Donald Trump,47,806,-0.6,rv,2024-10-14,1,22
Ipsos,2.8,National,Donald Trump,42,807,-0.9,rv,2024-10-13,1,23
Ipsos,2.8,National,Donald Trump,44,769,-0.9,lv,2024-10-13,1,23
Ipsos,2.8,National,Donald Trump,37,938,-0.9,a,2024-10-13,1,23
YouGov,3,National,Donald Trump,48,2712,-1.1,lv,2024-10-11,1,25
Marist,2.9,National,Donald Trump,47,1401,-0.9,lv,2024-10-10,1,26
Marist,2.9,National,Donald Trump,48,1708,-0.9,rv,2024-10-10,1,26
RMG Research,2.3,National,Donald Trump,47,2945,-0.4,lv,2024-10-10,1,26
Siena/NYT,3,Pennsylvania,Donald Trump,47,857,-1.5,rv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Donald Trump,45,857,-1.5,rv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Donald Trump,47,857,-1.5,lv,2024-10-10,0,26
Siena/NYT,3,Pennsylvania,Donald Trump,45,857,-1.5,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,51,808,-1.5,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,50,808,-1.5,lv,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,51,808,-1.5,rv,2024-10-10,0,26
Siena/NYT,3,Arizona,Donald Trump,49,808,-1.5,rv,2024-10-10,0,26
RMG Research,2.3,Georgia,Donald Trump,50,731,-0.4,lv,2024-10-10,0,26
UMass Amherst/YouGov,2.4,Massachusetts,Donald Trump,30,700,-0.4,a,2024-10-10,0,26
University of Massachusetts Lowell/YouGov,2.9,New Hampshire,Donald Trump,41,600,-1,lv,2024-10-10,0,26
YouGov,3,Texas,Donald Trump,51,1091,-1.1,lv,2024-10-10,0,26
Marquette Law School,3,National,Donald Trump,50,780,-1.1,rv,2024-10-10,1,26
Marquette Law School,3,National,Donald Trump,39,780,-1.1,rv,2024-10-10,1,26
Marquette Law School,3,National,Donald Trump,50,652,-1.1,lv,2024-10-10,1,26
Marquette Law School,3,National,Donald Trump,41,652,-1.1,lv,2024-10-10,1,26
U. Houston,2.2,Texas,Donald Trump,51,1329,-0.3,lv,2024-10-10,0,26
InsiderAdvantage,2,Michigan,Donald Trump,48,800,-0.3,lv,2024-10-09,0,27
InsiderAdvantage,2,Wisconsin,Donald Trump,48,800,-0.3,lv,2024-10-09,0,27
University of Massachusetts Lowell/YouGov,2.9,Pennsylvania,Donald Trump,45,800,-1,lv,2024-10-09,0,27
InsiderAdvantage,2,Pennsylvania,Donald Trump,49,800,-0.3,lv,2024-10-08,0,28
Emerson,2.9,Arizona,Donald Trump,50.5,1000,-1.1,lv,2024-10-08,0,28
Emerson,2.9,Georgia,Donald Trump,49.7,1000,-1.1,lv,2024-10-08,0,28
Emerson,2.9,Michigan,Donald Trump,49.6,950,-1.1,lv,2024-10-08,0,28
Emerson,2.9,Nevada,Donald Trump,48.1,900,-1.1,lv,2024-10-08,0,28
Emerson,2.9,North Carolina,Donald Trump,49.9,1000,-1.1,lv,2024-10-08,0,28
Emerson,2.9,Pennsylvania,Donald Trump,49.7,1000,-1.1,lv,2024-10-08,0,28
Emerson,2.9,Wisconsin,Donald Trump,49.9,1000,-1.1,lv,2024-10-08,0,28
Siena/NYT,3,Montana,Donald Trump,57,656,-1.5,rv,2024-10-08,0,28
Siena/NYT,3,Montana,Donald Trump,56,656,-1.5,rv,2024-10-08,0,28
Siena/NYT,3,Montana,Donald Trump,57,656,-1.5,lv,2024-10-08,0,28
Siena/NYT,3,Montana,Donald Trump,56,656,-1.5,lv,2024-10-08,0,28
Hart/POS,2.6,National,Donald Trump,47,1000,-0.7,rv,2024-10-08,1,28
Hart/POS,2.6,National,Donald Trump,48,1000,-0.7,rv,2024-10-08,1,28
Ipsos,2.8,National,Donald Trump,48,2631,-0.9,a,2024-10-08,1,28
Ipsos,2.8,National,Donald Trump,47,2226,-0.9,rv,2024-10-08,1,28
Ipsos,2.8,National,Donald Trump,48,1714,-0.9,lv,2024-10-08,1,28
Ipsos,2.8,National,Donald Trump,49,2631,-0.9,a,2024-10-08,1,28
Ipsos,2.8,National,Donald Trump,49,2226,-0.9,rv,2024-10-08,1,28
Ipsos,2.8,National,Donald Trump,48,1714,-0.9,lv,2024-10-08,1,28
YouGov,3,National,Donald Trump,44,1414,-1.1,rv,2024-10-07,1,29
YouGov,3,National,Donald Trump,45,1230,-1.1,lv,2024-10-07,1,29
Research Co.,2.4,Michigan,Donald Trump,48,450,-0.5,lv,2024-10-07,0,29
Research Co.,2.4,Pennsylvania,Donald Trump,49,450,-0.5,lv,2024-10-07,0,29
Research Co.,2.4,Wisconsin,Donald Trump,48,450,-0.5,lv,2024-10-07,0,29
Ipsos,2.8,National,Donald Trump,38,1272,-0.9,a,2024-10-07,1,29
Ipsos,2.8,National,Donald Trump,43,1076,-0.9,rv,2024-10-07,1,29
Ipsos,2.8,National,Donald Trump,45,1076,-0.9,lv,2024-10-07,1,29
Ipsos,2.8,National,Donald Trump,47,1272,-0.9,a,2024-10-07,1,29
Ipsos,2.8,National,Donald Trump,48,1076,-0.9,rv,2024-10-07,1,29
Ipsos,2.8,National,Donald Trump,49,1076,-0.9,lv,2024-10-07,1,29
Quinnipiac,2.8,Michigan,Donald Trump,50,1007,-0.5,lv,2024-10-07,0,29
Quinnipiac,2.8,Michigan,Donald Trump,51,1007,-0.5,lv,2024-10-07,0,29
Quinnipiac,2.8,Pennsylvania,Donald Trump,46,1412,-0.5,lv,2024-10-07,0,29
Quinnipiac,2.8,Pennsylvania,Donald Trump,47,1412,-0.5,lv,2024-10-07,0,29
Quinnipiac,2.8,Wisconsin,Donald Trump,48,1073,-0.5,lv,2024-10-07,0,29
Quinnipiac,2.8,Wisconsin,Donald Trump,49,1073,-0.5,lv,2024-10-07,0,29
Marist,2.9,Florida,Donald Trump,51,1257,-0.9,lv,2024-10-07,0,29
Marist,2.9,Florida,Donald Trump,51,1410,-0.9,rv,2024-10-07,0,29
Marist,2.9,Texas,Donald Trump,52,1365,-0.9,rv,2024-10-07,0,29
Marist,2.9,Texas,Donald Trump,53,1186,-0.9,lv,2024-10-07,0,29
Marist,2.9,Ohio,Donald Trump,52,1511,-0.9,rv,2024-10-07,0,29
Marist,2.9,Ohio,Donald Trump,52,1327,-0.9,lv,2024-10-07,0,29
The Washington Post,3,Ohio,Donald Trump,51,1002,-1.2,lv,2024-10-07,0,29
The Washington Post,3,Ohio,Donald Trump,51,1002,-1.2,rv,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Donald Trump,54,539,-0.4,lv,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Donald Trump,54,539,-0.4,lv,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Donald Trump,52,600,-0.4,rv,2024-10-07,0,29
Noble Predictive Insights,2.4,Utah,Donald Trump,51,600,-0.4,rv,2024-10-07,0,29
Research Co.,2.4,National,Donald Trump,45,1001,-0.5,lv,2024-10-06,1,30
Pew,2.5,National,Donald Trump,47,4025,-0.4,rv,2024-10-06,1,30
Pew,2.5,National,Donald Trump,49,4025,-0.4,rv,2024-10-06,1,30
Siena/NYT,3,National,Donald Trump,46,3385,-1.5,lv,2024-10-06,1,30
Siena/NYT,3,National,Donald Trump,44,3385,-1.5,lv,2024-10-06,1,30
Siena/NYT,3,Florida,Donald Trump,55,622,-1.5,lv,2024-10-06,0,30
Siena/NYT,3,Florida,Donald Trump,53,622,-1.5,lv,2024-10-06,0,30
Siena/NYT,3,Florida,Donald Trump,54,622,-1.5,rv,2024-10-06,0,30
Siena/NYT,3,Florida,Donald Trump,53,622,-1.5,rv,2024-10-06,0,30
Suffolk,2.9,Massachusetts,Donald Trump,32.2,500,-1,lv,2024-10-05,0,31
YouGov,3,National,Donald Trump,45,1150,-1.1,rv,2024-10-04,1,32
YouGov,3,National,Donald Trump,47,1032,-1.1,lv,2024-10-04,1,32
YouGov,3,National,Donald Trump,46,1151,-1.1,rv,2024-10-04,1,32
YouGov,3,National,Donald Trump,47,1033,-1.1,lv,2024-10-04,1,32
Noble Predictive Insights,2.4,National,Donald Trump,46,2290,-0.4,lv,2024-10-04,1,32
Noble Predictive Insights,2.4,National,Donald Trump,47,2290,-0.4,lv,2024-10-04,1,32
Noble Predictive Insights,2.4,National,Donald Trump,46,2560,-0.4,rv,2024-10-04,1,32
Noble Predictive Insights,2.4,National,Donald Trump,45,2560,-0.4,rv,2024-10-04,1,32
Mason-Dixon,2.6,Florida,Donald Trump,49,625,-1.1,lv,2024-10-04,0,32
Siena/NYT,3,Texas,Donald Trump,50,617,-1.5,lv,2024-10-04,0,32
Siena/NYT,3,Texas,Donald Trump,49,617,-1.5,lv,2024-10-04,0,32
Siena/NYT,3,Texas,Donald Trump,50,617,-1.5,rv,2024-10-04,0,32
Siena/NYT,3,Texas,Donald Trump,48,617,-1.5,rv,2024-10-04,0,32
Christopher Newport U.,2.8,Virginia,Donald Trump,41,800,-0.6,lv,2024-10-04,0,32
Data for Progress,2.6,National,Donald Trump,46,1211,-1.2,lv,2024-10-03,1,33
Cygnal,2.1,National,Donald Trump,44.5,1500,-1.1,lv,2024-10-03,1,33
Cygnal,2.1,National,Donald Trump,47,1500,-1.1,lv,2024-10-03,1,33
RMG Research,2.3,National,Donald Trump,49,2965,-0.4,lv,2024-10-03,1,33
RMG Research,2.3,Nevada,Donald Trump,49,782,-0.4,lv,2024-10-03,0,33
St. Anselm,2.4,New Hampshire,Donald Trump,44,2104,-0.5,lv,2024-10-02,0,34
RMG Research,2.3,Arizona,Donald Trump,50,783,-0.4,lv,2024-10-02,0,34
YouGov/Center for Working Class Politics,3,Pennsylvania,Donald Trump,44.7,1000,-1.1,rv,2024-10-02,0,34
YouGov,3,National,Donald Trump,45,1463,-1.1,rv,2024-10-01,1,35
YouGov,3,National,Donald Trump,46,1261,-1.1,lv,2024-10-01,1,35
Emerson,2.9,National,Donald Trump,48.6,1000,-1.1,lv,2024-10-01,1,35
Marist,2.9,National,Donald Trump,48,1294,-0.9,lv,2024-10-01,1,35
Marist,2.9,National,Donald Trump,47,1514,-0.9,rv,2024-10-01,1,35
UC Berkeley,2.5,California,Donald Trump,35,3045,-0.2,lv,2024-10-01,0,35
Susquehanna,2.3,National,Donald Trump,44,1001,-0.3,lv,2024-10-01,1,35
Mitchell,2.4,Michigan,Donald Trump,49,709,-0.2,lv,2024-09-30,0,36
Mitchell,2.4,Michigan,Donald Trump,47,709,-0.2,lv,2024-09-30,0,36
InsiderAdvantage,2,Arizona,Donald Trump,49.1,800,-0.3,lv,2024-09-30,0,36
InsiderAdvantage,2,Nevada,Donald Trump,49.3,800,-0.3,lv,2024-09-30,0,36
InsiderAdvantage,2,North Carolina,Donald Trump,49.5,800,-0.3,lv,2024-09-30,0,36
InsiderAdvantage,2,Georgia,Donald Trump,48.1,800,-0.3,lv,2024-09-30,0,36
Leger,2,National,Donald Trump,47,837,0,lv,2024-09-29,1,37
Leger,2,National,Donald Trump,48,888,0,rv,2024-09-29,1,37
The Washington Post,3,North Carolina,Donald Trump,50,1001,-1.2,lv,2024-09-29,0,37
The Washington Post,3,North Carolina,Donald Trump,50,1001,-1.2,rv,2024-09-29,0,37
Quinnipiac,2.8,North Carolina,Donald Trump,49,953,-0.5,lv,2024-09-29,0,37
Quinnipiac,2.8,North Carolina,Donald Trump,49,953,-0.5,lv,2024-09-29,0,37
Quinnipiac,2.8,Georgia,Donald Trump,50,942,-0.5,lv,2024-09-29,0,37
Quinnipiac,2.8,Georgia,Donald Trump,50,942,-0.5,lv,2024-09-29,0,37
National Research,2,Arizona,Donald Trump,46,600,-0.5,lv,2024-09-29,0,37
Winthrop U.,2.5,South Carolina,Donald Trump,51.6,1068,-0.3,lv,2024-09-29,0,37
High Point University,2.5,North Carolina,Donald Trump,46,814,-0.4,rv,2024-09-29,0,37
High Point University,2.5,North Carolina,Donald Trump,48,589,-0.4,lv,2024-09-29,0,37
Emerson,2.9,Arizona,Donald Trump,51.7,920,-1.1,lv,2024-09-28,0,38
Emerson,2.9,North Carolina,Donald Trump,49.9,850,-1.1,lv,2024-09-28,0,38
Emerson,2.9,Pennsylvania,Donald Trump,48.8,1000,-1.1,lv,2024-09-28,0,38
Cygnal,2.1,Iowa,Donald Trump,51.3,600,-1.1,lv,2024-09-28,0,38
RMG Research,2.3,Texas,Donald Trump,53,779,-0.4,lv,2024-09-27,0,39
RMG Research,2.3,Florida,Donald Trump,50,774,-0.4,lv,2024-09-27,0,39
RMG Research,2.3,North Carolina,Donald Trump,51,780,-0.4,lv,2024-09-27,0,39
RMG Research,2.3,Michigan,Donald Trump,47,789,-0.4,lv,2024-09-27,0,39
McCourtney Institute/YouGov,3,National,Donald Trump,45,848,-1.1,lv,2024-09-27,1,39
Siena/NYT,3,Nebraska CD-2,Donald Trump,42,680,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Nebraska CD-2,Donald Trump,41,680,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Nebraska CD-2,Donald Trump,43,680,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Nebraska CD-2,Donald Trump,42,680,-1.5,lv,2024-09-26,0,40
SurveyUSA,2.8,Minnesota,Donald Trump,44,646,-1.3,lv,2024-09-26,0,40
East Carolina University,2.6,North Carolina,Donald Trump,49.4,1005,-0.5,lv,2024-09-26,0,40
Siena/NYT,3,Michigan,Donald Trump,47,688,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Michigan,Donald Trump,46,688,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Michigan,Donald Trump,47,688,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Michigan,Donald Trump,46,688,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Ohio,Donald Trump,49,687,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Ohio,Donald Trump,47,687,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Ohio,Donald Trump,50,687,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Ohio,Donald Trump,49,687,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Wisconsin,Donald Trump,47,680,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Wisconsin,Donald Trump,45,680,-1.5,rv,2024-09-26,0,40
Siena/NYT,3,Wisconsin,Donald Trump,47,680,-1.5,lv,2024-09-26,0,40
Siena/NYT,3,Wisconsin,Donald Trump,46,680,-1.5,lv,2024-09-26,0,40
Marquette Law School,3,Wisconsin,Donald Trump,48,882,-1.1,rv,2024-09-26,0,40
Marquette Law School,3,Wisconsin,Donald Trump,48,798,-1.1,lv,2024-09-26,0,40
Marquette Law School,3,Wisconsin,Donald Trump,44,882,-1.1,rv,2024-09-26,0,40
Marquette Law School,3,Wisconsin,Donald Trump,44,798,-1.1,lv,2024-09-26,0,40
Echelon Insights,2.7,National,Donald Trump,45,1005,-0.8,lv,2024-09-25,1,41
Echelon Insights,2.7,National,Donald Trump,44,1005,-0.8,lv,2024-09-25,1,41
Emerson,2.9,New York,Donald Trump,41.6,1000,-1.1,lv,2024-09-25,0,41
RMG Research,2.3,National,Donald Trump,48,2952,-0.4,lv,2024-09-25,1,41
CNN/SSRS,2.8,North Carolina,Donald Trump,48,931,-0.6,lv,2024-09-25,0,41
CNN/SSRS,2.8,Nebraska CD-2,Donald Trump,42,749,-0.6,lv,2024-09-25,0,41
AtlasIntel,2.7,Arizona,Donald Trump,49.7,946,-0.8,lv,2024-09-25,0,41
